pubDate,demandDepositRate,fixedDepositRate3Month,fixedDepositRate6Month,fixedDepositRate1Year,fixedDepositRate2Year,fixedDepositRate3Year,fixedDepositRate5Year,installmentFixedDepositRate1Year,installmentFixedDepositRate3Year,installmentFixedDepositRate5Year
1990-04-15,2.880000,6.300000,7.740000,10.080000,10.980000,11.880000,13.680000,,,
1990-08-21,2.160000,4.320000,6.480000,8.640000,9.360000,10.080000,11.520000,7.200000,8.640000,10.080000
1991-04-21,1.800000,3.240000,5.400000,7.560000,7.920000,8.280000,9.000000,6.120000,6.840000,7.560000
1993-05-15,2.160000,4.860000,7.200000,9.180000,9.900000,10.800000,12.060000,7.200000,9.180000,10.800000
1993-07-11,3.150000,6.660000,9.000000,10.980000,11.700000,12.240000,13.860000,9.000000,10.980000,12.240000
1995-01-01,,,,,,,,,,
1995-07-01,,,,,,,,,,
1996-05-01,2.970000,4.860000,7.200000,9.180000,9.900000,10.800000,12.060000,7.200000,9.180000,10.800000
1996-08-23,1.980000,3.330000,5.400000,7.470000,7.920000,8.280000,9.000000,5.400000,7.470000,8.280000
1997-10-23,1.710000,2.880000,4.140000,5.670000,5.940000,6.210000,6.660000,4.140000,5.670000,6.210000
1998-03-25,1.710000,2.880000,4.140000,5.220000,5.580000,6.210000,6.660000,4.140000,5.220000,6.210000
1998-07-01,1.440000,2.790000,3.960000,4.770000,4.860000,4.950000,5.220000,3.960000,4.770000,4.950000
1998-12-07,1.440000,2.790000,3.330000,3.780000,3.960000,4.140000,4.500000,3.330000,3.780000,4.140000
1999-06-10,0.990000,1.980000,2.160000,2.250000,2.430000,2.700000,2.880000,1.980000,2.160000,2.250000
2002-02-21,0.720000,1.710000,1.890000,1.980000,2.250000,2.520000,2.790000,1.710000,1.890000,1.980000
2004-10-29,0.720000,1.710000,2.070000,2.250000,2.700000,3.240000,3.600000,1.710000,2.070000,2.250000
2006-04-28,,,,,,,,,,
2006-08-19,0.720000,1.800000,2.250000,2.520000,3.060000,3.690000,4.140000,1.800000,2.250000,2.520000
2007-03-18,0.720000,1.980000,2.430000,2.790000,3.330000,3.960000,4.410000,1.980000,2.430000,2.790000
2007-05-19,0.720000,2.070000,2.610000,3.060000,3.690000,4.410000,4.950000,2.070000,2.610000,3.060000
2007-07-21,0.810000,2.340000,2.880000,3.330000,3.960000,4.680000,5.220000,2.340000,2.880000,3.330000
2007-08-22,0.810000,2.610000,3.150000,3.600000,4.230000,4.950000,5.490000,2.610000,3.150000,3.600000
2007-09-15,0.810000,2.880000,3.420000,3.870000,4.500000,5.220000,5.760000,2.880000,3.420000,3.870000
2007-12-21,0.720000,3.330000,3.780000,4.140000,4.680000,5.400000,5.850000,3.330000,3.780000,4.140000
2008-09-16,,,,,,,,,,
2008-10-09,0.720000,3.150000,3.510000,3.870000,4.410000,5.130000,5.580000,3.150000,3.510000,3.870000
2008-10-15,,,,,,,,3.150000,3.510000,3.870000
2008-10-30,0.720000,2.880000,3.240000,3.600000,4.140000,4.770000,5.130000,2.880000,3.240000,3.600000
2008-11-27,0.360000,1.980000,2.250000,2.520000,3.060000,3.600000,3.870000,1.980000,2.250000,2.520000
2008-12-23,0.360000,1.710000,1.980000,2.250000,2.790000,3.330000,3.600000,1.710000,1.980000,2.250000
2010-10-20,0.360000,1.910000,2.200000,2.500000,3.250000,3.850000,4.200000,1.910000,2.200000,2.500000
2010-12-26,0.360000,2.250000,2.500000,2.750000,3.550000,4.150000,4.550000,2.250000,2.500000,2.750000
2011-02-09,0.400000,2.600000,2.800000,3.000000,3.900000,4.500000,5.000000,2.600000,2.800000,3.000000
2011-04-06,0.500000,2.850000,3.050000,3.250000,4.150000,4.750000,5.250000,2.850000,3.050000,3.250000
2011-07-07,0.500000,3.100000,3.300000,3.500000,4.400000,5.000000,5.500000,3.100000,3.300000,3.500000
2012-06-08,0.400000,2.850000,3.050000,3.250000,4.100000,4.650000,5.100000,2.850000,3.050000,3.250000
2012-07-06,0.350000,2.600000,2.800000,3.000000,3.750000,4.250000,4.750000,2.600000,2.800000,3.000000
2014-11-22,0.350000,2.350000,2.550000,2.750000,3.350000,4.000000,,2.350000,2.550000,
2015-03-01,0.350000,2.100000,2.300000,2.500000,3.100000,3.750000,,2.100000,2.300000,
2015-05-11,0.350000,1.850000,2.050000,2.250000,2.850000,3.500000,,1.850000,2.050000,
2015-06-28,0.350000,1.600000,1.800000,2.000000,2.600000,3.250000,,1.600000,1.800000,
2015-08-26,0.350000,1.350000,1.550000,1.750000,2.350000,3.000000,,1.350000,1.550000,
2015-10-24,0.350000,1.100000,1.300000,1.500000,2.100000,2.750000,,1.100000,1.300000,
